Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Honda,City,17.5,98000,Manual,second,Petrol,38.118868813343795,5600.0,2026,11
Toyota,Innova,15.0,168500,Manual,second,Diesel,35.74809374183052,11233.0,2026,7
Volkswagen,Ventotest,14.0,77246,Manual,first,Diesel,35.81454544699122,5518.0,2026,11
Maruti Suzuki,Swift,7.0,83500,Manual,second,Diesel,38.18107474528008,11929.0,2026,11
Maruti Suzuki,Baleno,5.0,45000,Automatic,first,Petrol,35.87848849027855,9000.0,2026,11
BMW,X3,10.0,83000,Automatic,first,Diesel,38.050678795515715,8300.0,2026,11
Toyota,Innova,10.0,168000,Manual,second,Diesel,35.81459112814982,16800.0,2026,11
BMW,5 Series,5.0,25000,Automatic,second,Diesel,35.816284955916885,5000.0,2026,11
Maruti Suzuki,Maruti-Suzuki-Dzire,4.0,33759,Manual,second,Petrol,35.80854446142917,8440.0,2026,11
Ford,Ecosport,7.0,69713,Manual,second,Petrol,35.87685510347307,9959.0,2026,11
Maruti Suzuki,Alto-K10,6.0,70000,Automatic,first,Petrol,35.87848845788742,11667.0,2026,11
Kia,Carnival,3.0,25000,Automatic,first,Diesel,35.816284955916885,8333.0,2026,11
Maruti Suzuki,Swift-Dzire,12.0,72700,Manual,second,Petrol,35.81459394344213,6058.0,2026,11
Toyota,Corolla,17.0,121931,Automatic,second,Petrol,35.87690190015071,7172.0,2026,11
Mercedes-Benz,Gle Coupe,3.0,32000,Automatic,second,Petrol,35.816284955916885,10667.0,2026,10
Hyundai,Xcent,6.0,130000,Manual,second,Diesel,38.17944023099832,21667.0,2026,11
Kia,Seltos,4.0,68000,Manual,first,Diesel,35.87853123798898,17000.0,2026,10
Maruti Suzuki,Ertiga,8.0,65000,Manual,second,Diesel,35.81454540918183,8125.0,2026,11
Maruti Suzuki,Ertiga,7.0,59000,Automatic,second,Petrol,35.81454396127045,8429.0,2026,11
BMW,3 Series Gt,9.0,61000,Automatic,second,Diesel,33.51196031721554,6778.0,2026,11
Ford,Endeavour,5.0,77000,Automatic,second,Diesel,38.11713050214638,15400.0,2026,11
Toyota,Innova Crysta,7.0,107000,Automatic,first,Diesel,35.81454536985541,15286.0,2026,11
Honda,City,14.0,168500,Manual,first,Petrol,35.87848849123604,12036.0,2026,11
Audi,A3,9.0,42000,Automatic,second,Diesel,35.81628372034903,4667.0,2026,11
Renault,Kwid,5.0,48073,Automatic,second,Petrol,38.11717899848661,9615.0,2026,11
MG,Hector,5.0,32618,Automatic,first,Petrol,38.1171790364354,6524.0,2026,10
Maruti Suzuki,Swift-Dzire,12.0,70000,Manual,second,Diesel,35.81449359334323,5833.0,2026,11
Maruti Suzuki,Celerio,10.0,51000,Automatic,second,Petrol,35.8126882881711,5100.0,2026,11
Maruti Suzuki,Vitara-Brezza,6.0,137000,Manual,first,Diesel,35.81628495594209,22833.0,2026,11
Toyota,28 Legender 4X2,1.0,1996,Automatic,first,Diesel,35.816284955916885,1996.0,2026,11
Toyota,Innova Crysta,7.0,90000,Manual,second,Diesel,35.81628498922952,12857.0,2026,11
Toyota,Innova,13.0,84000,Manual,second,Diesel,38.11713185621088,6462.0,2026,11
Volvo,S90,6.0,53000,Automatic,first,Diesel,35.816284955916885,8833.0,2026,11
Hyundai,Venue,3.0,17000,Manual,first,Petrol,35.87848849027855,5667.0,2026,11
Maruti Suzuki,Ertiga,6.0,70000,Manual,second,Petrol,35.876856375798205,11667.0,2026,11
Hyundai,Creta,1.0,5000,Automatic,first,Petrol,35.81618289257385,5000.0,2026,11
Hyundai,Alcazar,2.0,47110,Manual,second,Diesel,35.81454544699045,23555.0,2026,11
Hyundai,I20,5.0,35000,Manual,first,Petrol,35.81632921048397,7000.0,2026,11
Mercedes-Benz,E-Class,5.0,101570,Automatic,first,Diesel,35.816284955916885,20314.0,2026,10
Volkswagen,Polo,3.0,42000,Manual,second,Petrol,35.878488457861444,14000.0,2026,11
Maruti Suzuki,Baleno,6.0,30000,Manual,second,Petrol,35.81459524782038,5000.0,2026,11
Hyundai,Verna,8.0,82100,Manual,second,Diesel,35.81454541020884,10262.0,2026,11
Audi,A4,12.0,90000,Automatic,second,Diesel,35.87685510247967,7500.0,2026,8
Toyota,Fortuner,13.0,168500,Manual,second,Diesel,35.81628372034975,12962.0,2026,11
Mercedes-Benz,C-Class,9.0,168500,Automatic,first,Diesel,35.814593977937385,18722.0,2026,11
Hyundai,Creta,2.0,168500,Automatic,second,Petrol,35.816235048482376,25624.5,2026,11
Maruti Suzuki,Swift-Dzire,4.0,94856,Manual,first,Petrol,35.81454540802352,23714.0,2026,11
Skoda,Kushaq,1.0,12000,Automatic,first,Petrol,35.81454540918101,12000.0,2026,11
Maruti Suzuki,Ciaz,6.0,0,Manual,first,Petrol,33.574221286844114,0.0,2026,11
Tata,Safari,14.0,168500,Manual,first,Diesel,35.814543962369235,12036.0,2026,11
Toyota,Innova Crysta,6.0,118000,Automatic,first,Diesel,35.876855103472344,19667.0,2026,11
Mercedes-Benz,C-Class,8.0,41000,Automatic,second,Petrol,38.11717903640582,5125.0,2026,10
Honda,City,14.0,79000,Manual,second,Petrol,38.11713054001289,5643.0,2026,11
Honda,Brv,8.0,103001,Manual,second,Diesel,38.17948699314416,12875.0,2026,11
Hyundai,Creta,7.0,70000,Manual,second,Petrol,35.814546764334885,10000.0,2026,11
Renault,Duster,6.0,130000,Manual,first,Diesel,35.81454540802352,21667.0,2026,11
Maruti Suzuki,Wagon-R,13.0,78000,Manual,second,Petrol,35.87685637670326,6000.0,2026,11
Toyota,Fortuner,7.0,115000,Automatic,second,Diesel,38.117130539984494,16429.0,2026,11
Mahindra,Bolero Power Plus,7.0,160000,Manual,second,Diesel,35.87685510250738,22857.0,2026,11
Hyundai,Eon,7.0,27000,Manual,second,Petrol,35.81628368579639,3857.0,2026,10
MG,Hector Plus,4.0,81600,Automatic,first,Petrol,35.81628368486005,20400.0,2026,11
Hyundai,Creta,7.0,54000,Automatic,first,Petrol,38.11713185829137,7714.0,2026,11
Mahindra,Xuv500,6.0,76000,Manual,first,Diesel,35.81628372034975,12667.0,2026,11
Mercedes-Benz,Gls,10.0,86000,Automatic,first,Diesel,35.816284955916885,8600.0,2026,11
Hyundai,I10,13.0,65000,Manual,second,Petrol,35.87685510144871,5000.0,2026,11
Mercedes-Benz,Gla Class,6.0,60000,Automatic,second,Diesel,38.11713050320288,10000.0,2026,11
Kia,Carens,1.0,24000,Manual,first,Petrol,35.81459397796516,24000.0,2026,11
Toyota,Innova,13.0,100231,Manual,second,Diesel,35.87690070496917,7710.0,2026,11
Maruti Suzuki,Ignis,1.0,13000,Manual,second,Petrol,38.117179037427036,13000.0,2026,11
Hyundai,Grand I10,7.0,47000,Manual,first,Petrol,38.11891549673862,6714.0,2026,11
Hyundai,Getz Prime,17.0,115031,Manual,second,Petrol,38.118868813343774,6767.0,2026,11
Maruti Suzuki,Swift,10.0,67000,Manual,first,Petrol,35.81268824656323,6700.0,2026,11
Hyundai,Xcent,8.0,74500,Manual,first,Diesel,38.1171790364354,9312.0,2026,11
Honda,City,8.0,93000,Automatic,second,Petrol,35.876855103472344,11625.0,2026,11
Maruti Suzuki,Ritz,9.0,59000,Manual,first,Petrol,35.87848849123604,6556.0,2026,11
Toyota,Innova Crysta,7.0,168500,Automatic,second,Diesel,35.81454676529885,24071.0,2026,11
Hyundai,Verna,2.0,69000,Automatic,first,Diesel,38.1171790364354,25624.5,2026,11
Hyundai,Creta,9.0,76000,Automatic,second,Diesel,35.87685510347305,8444.0,2026,11
Kia,Sonet,4.0,34500,Automatic,first,Petrol,35.87685510245005,8625.0,2026,11
Ford,Ecosport,8.0,130000,Manual,second,Diesel,38.117180307522666,16250.0,2026,11
Mercedes-Benz,Glc Coupe,2.0,20000,Automatic,first,Diesel,35.816284955916885,10000.0,2026,11
Mahindra,Scorpio-N,1.0,15905,Automatic,first,Diesel,35.7461658017031,15905.0,2026,11
Toyota,Innova Crysta,3.0,21000,Manual,first,Diesel,38.11717899957833,7000.0,2026,11
Mini,Cooper 3 Door,5.0,13000,Automatic,first,Petrol,35.816284955916885,2600.0,2026,11
Maruti Suzuki,Ertiga,9.0,75000,Manual,first,Diesel,38.1171790364354,8333.0,2026,11
Volkswagen,Polo,12.0,80000,Manual,second,Diesel,35.81628368579639,6667.0,2026,11
Maruti Suzuki,Wagon-R,8.0,50000,Manual,first,Petrol,35.748093742917305,6250.0,2026,9
Tata,Nexon,2.0,40000,Automatic,second,Petrol,35.87848721736374,20000.0,2026,11
Maruti Suzuki,Ritz,11.0,87000,Manual,first,Diesel,33.512010155698235,7909.0,2026,10
Toyota,Etios,9.0,155000,Manual,second,Diesel,33.513698591839116,17222.0,2026,11
Volkswagen,Crosspolo,10.0,80000,Manual,second,Diesel,38.1171790364354,8000.0,2026,11
Maruti Suzuki,Wagon-R,10.0,84000,Manual,second,Petrol,35.74809515071818,8400.0,2026,10
Volkswagen,Polo,3.0,18000,Automatic,first,Petrol,35.87685510247967,6000.0,2026,11
Maruti Suzuki,Baleno,7.0,47000,Automatic,first,Petrol,35.876855103472344,6714.0,2026,10
Volkswagen,Vento,13.0,168500,Manual,first,Diesel,38.1171790364354,12962.0,2026,11
Maruti Suzuki,Alto-K10,13.0,82000,Manual,first,Petrol,33.513698553920015,6308.0,2026,11
Maruti Suzuki,Celerio,9.0,35000,Automatic,first,Petrol,38.1171790364354,3889.0,2026,11
Renault,Duster,9.0,150000,Automatic,second,Diesel,35.81454541020884,16667.0,2026,11
Toyota,Fortuner,12.0,132000,Manual,first,Diesel,35.814593978930326,11000.0,2026,10
Land Rover,Range Rover Evoque,7.0,130000,Automatic,second,Petrol,35.816284955916885,18571.0,2026,11
Maruti Suzuki,Ertiga,4.0,59000,Automatic,first,Petrol,35.81632924467523,14750.0,2026,11
Tata,Nexon,6.0,95000,Automatic,second,Petrol,35.876855103472344,15833.0,2026,11
Tata,Indigo Ecs,8.0,115000,Manual,second,Diesel,38.1189143035073,14375.0,2026,11
Mahindra,Thar,2.0,110000,Manual,first,Diesel,35.81459394344136,25624.5,2026,11
Toyota,Camry,9.0,68000,Automatic,second,Petrol,33.44551005772415,7556.0,2026,11
Skoda,Kushaq,3.0,74000,Automatic,first,Petrol,38.117130502175876,24667.0,2026,11
Maruti Suzuki,Ritz,12.0,88000,Manual,first,Petrol,33.512010155698235,7333.0,2026,11
Hyundai,Grand I10,10.0,47000,Automatic,second,Petrol,35.87685373963976,4700.0,2026,11
Mahindra,Bolero,9.0,16,Manual,first,Diesel,38.11702303029633,2.0,2026,11
Honda,Brio,12.0,68000,Manual,first,Petrol,35.878488422229225,5667.0,2026,11
Honda,City Zx,17.0,115000,Manual,second,Petrol,35.74809515071818,6765.0,2026,10
Hyundai,I10,13.0,50000,Manual,second,Petrol,35.74989937059981,3846.0,2026,11
Honda,Wrv,7.0,98000,Manual,first,Diesel,35.81632924380336,14000.0,2026,11
Land Rover,Discovery Sport,5.0,62000,Automatic,first,Diesel,35.816284955916885,12400.0,2026,11
Tata,Harrier,5.0,67000,Manual,second,Diesel,35.87685510247967,13400.0,2026,11
Tata,Zest,9.0,69000,Manual,second,Petrol,38.179440195474484,7667.0,2026,11
Maruti Suzuki,Eeco,3.0,49000,Manual,first,Petrol,35.81449359337205,16333.0,2026,10
Maruti Suzuki,Swift-Dzire,11.0,162000,Manual,second,Diesel,38.11702303029633,14727.0,2026,11
