Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
17.5,98000,3.607,5600.0,2026,11,1,1,0,1,36.022,35.983
15.0,168500,3.607,11233.0,2026,7,1,1,0,0,36.539,36.145
14.0,77246,3.667,5518.0,2026,11,1,0,0,0,36.188,36.055
7.0,83500,3.607,11929.0,2026,11,1,1,0,0,36.018,36.136
5.0,45000,3.607,9000.0,2026,11,0,0,0,1,36.018,36.025
10.0,83000,3.607,8300.0,2026,11,0,0,0,0,37.196,37.319
10.0,168000,3.607,16800.0,2026,11,1,1,0,0,36.539,36.145
5.0,25000,3.668,5000.0,2026,11,0,1,0,0,37.196,37.36
4.0,33759,3.542,8440.0,2026,11,1,1,0,1,36.018,35.838
7.0,69713,3.667,9959.0,2026,11,1,1,0,1,36.179,35.999
6.0,70000,3.605,11667.0,2026,11,0,0,0,1,36.018,36.146
3.0,25000,3.668,8333.0,2026,11,0,0,0,0,36.372,38.156
12.0,72700,3.667,6058.0,2026,11,1,1,0,1,36.018,35.997
17.0,121931,3.664,7172.0,2026,11,0,1,0,1,36.539,36.21
3.0,32000,3.668,10667.0,2026,10,0,1,0,1,37.081,38.156
6.0,130000,3.607,21667.0,2026,11,1,1,0,0,35.975,35.897
4.0,68000,3.471,17000.0,2026,10,1,0,0,0,36.372,36.196
8.0,65000,3.607,8125.0,2026,11,1,1,0,0,36.018,36.128
7.0,59000,3.607,8429.0,2026,11,0,1,0,1,36.018,36.128
9.0,61000,3.666,6778.0,2026,11,0,1,0,0,37.196,37.504
5.0,77000,3.607,15400.0,2026,11,0,1,0,0,36.179,36.564
7.0,107000,3.605,15286.0,2026,11,0,0,0,0,36.539,36.353
14.0,168500,3.607,12036.0,2026,11,1,0,0,1,36.022,35.983
9.0,42000,3.542,4667.0,2026,11,0,1,0,0,36.021,34.554
5.0,48073,3.667,9615.0,2026,11,0,1,0,1,36.001,36.004
5.0,32618,3.607,6524.0,2026,10,0,0,0,1,36.066,35.978
12.0,70000,3.666,5833.0,2026,11,1,1,0,0,36.018,35.997
10.0,51000,3.607,5100.0,2026,11,0,1,0,1,36.018,35.745
6.0,137000,3.605,22833.0,2026,11,1,0,0,0,36.018,35.88
1.0,1996,3.668,1996.0,2026,11,0,0,0,0,36.539,38.156
7.0,90000,3.605,12857.0,2026,11,1,1,0,0,36.539,36.353
13.0,84000,3.607,6462.0,2026,11,1,1,0,0,36.539,36.145
6.0,53000,3.668,8833.0,2026,11,0,0,0,0,36.54,38.156
3.0,17000,3.607,5667.0,2026,11,1,0,0,1,35.975,35.961
6.0,70000,3.607,11667.0,2026,11,1,1,0,1,36.018,36.128
1.0,5000,3.605,5000.0,2026,11,0,0,0,1,35.975,36.094
2.0,47110,3.607,23555.0,2026,11,1,1,0,0,35.975,35.85
5.0,35000,3.542,7000.0,2026,11,1,0,0,1,35.975,36.004
5.0,101570,3.668,20314.0,2026,10,0,0,0,0,37.081,36.681
3.0,42000,3.607,14000.0,2026,11,1,1,0,1,36.188,36.12
6.0,30000,3.607,5000.0,2026,11,1,1,0,1,36.018,36.025
8.0,82100,3.607,10262.0,2026,11,1,1,0,0,35.975,36.038
12.0,90000,3.607,7500.0,2026,8,0,1,0,0,36.021,35.848
13.0,168500,3.607,12962.0,2026,11,1,1,0,0,36.539,36.976
9.0,168500,3.607,18722.0,2026,11,0,0,0,0,37.081,36.658
2.0,168500,3.607,25624.5,2026,11,0,1,0,1,35.975,36.094
4.0,94856,3.607,23714.0,2026,11,1,0,0,1,36.018,35.997
1.0,12000,3.542,12000.0,2026,11,0,0,0,1,36.099,35.463
6.0,0,3.607,0.0,2026,11,1,0,0,1,36.018,36.232
14.0,168500,3.542,12036.0,2026,11,1,0,0,0,36.199,36.254
6.0,118000,3.607,19667.0,2026,11,0,0,0,0,36.539,36.353
8.0,41000,3.605,5125.0,2026,10,0,1,0,1,37.081,36.658
14.0,79000,3.667,5643.0,2026,11,1,1,0,1,36.022,35.983
8.0,103001,3.607,12875.0,2026,11,1,1,0,0,36.022,35.838
7.0,70000,3.607,10000.0,2026,11,1,1,0,1,35.975,36.094
6.0,130000,3.607,21667.0,2026,11,1,0,0,0,36.001,35.991
13.0,78000,3.607,6000.0,2026,11,1,1,0,1,36.018,36.065
7.0,115000,3.607,16429.0,2026,11,0,1,0,0,36.539,36.976
7.0,160000,3.607,22857.0,2026,11,1,1,0,0,36.134,36.31
7.0,27000,3.607,3857.0,2026,10,1,1,0,1,35.975,35.986
4.0,81600,3.542,20400.0,2026,11,0,0,0,1,36.066,35.638
7.0,54000,3.541,7714.0,2026,11,0,0,0,1,35.975,36.094
6.0,76000,3.607,12667.0,2026,11,1,0,0,0,36.134,36.111
10.0,86000,3.668,8600.0,2026,11,0,0,0,0,37.081,38.02
13.0,65000,3.607,5000.0,2026,11,1,1,0,1,35.975,35.934
6.0,60000,3.607,10000.0,2026,11,0,1,0,0,37.081,36.506
1.0,24000,3.607,24000.0,2026,11,1,0,0,1,36.372,36.313
13.0,100231,3.601,7710.0,2026,11,1,1,0,0,36.539,36.145
1.0,13000,3.667,13000.0,2026,11,1,1,0,1,36.018,35.828
7.0,47000,3.607,6714.0,2026,11,1,0,0,1,35.975,35.683
17.0,115031,3.605,6767.0,2026,11,1,1,0,1,35.975,35.815
10.0,67000,3.607,6700.0,2026,11,1,0,0,1,36.018,36.136
8.0,74500,3.607,9312.0,2026,11,1,0,0,0,35.975,35.897
8.0,93000,3.607,11625.0,2026,11,0,1,0,1,36.022,35.983
9.0,59000,3.607,6556.0,2026,11,1,0,0,1,36.018,36.19
